matricula,nombre,apellidos,f_nacimiento,sexo,egreso,area,estado_laboral,sueldo
9129446,Nombre 41,Apellido 41,13/12/2003,H,03/11/2025,ciencias sociales,1,14543.77
6016772,Nombre 42,Apellido 42,10/08/1993,M,04/08/2025,ciencias sociales,1,14625.65
1703775,Nombre 43,Apellido 43,18/12/2000,H,27/12/2020,medicina,1,14628.35
1797414,Nombre 44,Apellido 44,24/10/2003,H,04/12/2023,humanidades,1,14656
5065003,Nombre 45,Apellido 45,13/05/1990,H,22/02/2010,medicina,1,14678.53
2144529,Nombre 46,Apellido 46,16/03/2001,M,01/11/2021,ciencias sociales,0,
4898679,Nombre 47,Apellido 47,07/01/1993,M,15/11/2023,medicina,1,14686.05
3017355,Nombre 48,Apellido 48,25/11/2005,M,29/10/2026,humanidades,1,14724.62
6239066,Nombre 49,Apellido 49,09/12/1993,H,27/12/2013,humanidades,0,
4907233,Nombre 50,Apellido 50,24/09/1996,H,21/07/2017,ingeniería,0,
1573063,Nombre 51,Apellido 51,24/10/1998,H,07/07/2020,ciencias sociales,1,14742.99
6544648,Nombre 52,Apellido 52,27/11/2001,M,03/07/2026,ingeniería,1,14750.18
4078674,Nombre 53,Apellido 53,28/12/1987,M,23/09/2018,ciencias sociales,1,14802.29
8264324,Nombre 54,Apellido 54,24/10/1985,H,20/02/2010,ciencias sociales,0,
1281041,Nombre 55,Apellido 55,02/08/1984,H,16/12/2008,ingeniería,1,14816.44
9415370,Nombre 56,Apellido 56,14/10/1986,M,16/06/2019,ingeniería,1,14857.62
8706736,Nombre 57,Apellido 57,01/02/1978,M,29/11/2022,medicina,1,14873.54
1024488,Nombre 58,Apellido 58,07/05/1971,M,02/12/1991,ciencias sociales,0,
6679872,Nombre 59,Apellido 59,08/03/1998,H,15/09/2024,ingeniería,1,14906.03
9450443,Nombre 60,Apellido 60,07/05/1974,M,07/07/2022,ciencias sociales,1,14920.81
2836641,Nombre 61,Apellido 61,20/07/1997,M,06/07/2019,humanidades,1,14986.78
5207616,Nombre 62,Apellido 62,28/04/1983,H,22/10/2021,humanidades,0,
1243089,Nombre 63,Apellido 63,15/07/1994,H,01/04/2018,medicina,1,14987.59
2316935,Nombre 64,Apellido 64,31/03/1995,M,31/07/2014,humanidades,1,15007.39
7904468,Nombre 65,Apellido 65,11/07/1982,M,16/07/2002,medicina,1,15055.34
1603018,Nombre 66,Apellido 66,05/05/1992,M,10/08/2019,ciencias sociales,1,15097.66
5856300,Nombre 67,Apellido 67,21/07/1996,H,09/09/2021,ingeniería,1,15131.77
2393166,Nombre 68,Apellido 68,21/07/1993,M,01/05/2018,humanidades,0,
8891816,Nombre 69,Apellido 69,21/03/1987,M,13/07/2011,ingeniería,1,15154.29
7040985,Nombre 70,Apellido 70,17/09/1998,M,08/12/2017,ciencias sociales,1,15176.67
1913390,Nombre 71,Apellido 71,15/11/1979,M,31/10/1999,humanidades,0,
9488327,Nombre 72,Apellido 72,18/06/1999,H,16/10/2022,ingeniería,1,15222.5
2705981,Nombre 73,Apellido 73,22/09/1974,H,19/06/1998,ciencias sociales,1,15231.51
6843163,Nombre 74,Apellido 74,20/06/1974,M,05/11/2012,medicina,1,15288.93
1890633,Nombre 75,Apellido 75,21/06/1976,H,13/06/1997,humanidades,1,15299.46
6911306,Nombre 76,Apellido 76,03/08/1999,H,13/11/2021,ciencias sociales,0,
6564567,Nombre 77,Apellido 77,13/09/2000,M,25/04/2024,humanidades,0,
2931498,Nombre 78,Apellido 78,21/05/1996,H,29/06/2026,ciencias sociales,1,15332.69
7565508,Nombre 79,Apellido 79,03/04/1991,M,04/08/2010,ciencias sociales,1,15386.87
9049951,Nombre 80,Apellido 80,30/06/1971,M,23/06/2000,ingeniería,1,15410.4
1058368,Nombre 81,Apellido 81,13/04/2005,M,07/10/2025,ciencias sociales,1,15446.74
8234223,Nombre 82,Apellido 82,12/08/1998,M,21/02/2018,humanidades,1,15476.47
1530642,Nombre 83,Apellido 83,17/07/2004,H,15/12/2024,humanidades,0,
9836111,Nombre 84,Apellido 84,13/10/1994,M,20/05/2024,ciencias sociales,0,
7048311,Nombre 85,Apellido 85,13/05/1983,M,02/11/2012,ciencias sociales,1,15513.01
4534270,Nombre 86,Apellido 86,28/04/2002,M,05/01/2022,ciencias sociales,1,15514.96
2987766,Nombre 87,Apellido 87,13/06/1993,M,28/11/2015,ciencias sociales,0,
3776291,Nombre 88,Apellido 88,20/08/1990,H,29/04/2021,ciencias sociales,0,
1101395,Nombre 89,Apellido 89,01/05/1977,H,09/06/2024,humanidades,1,15550.74
6748387,Nombre 90,Apellido 90,12/01/2001,M,18/07/2025,humanidades,1,15563.98
9524089,Nombre 91,Apellido 91,13/04/1981,M,17/08/2020,humanidades,1,15567.57
7113119,Nombre 92,Apellido 92,22/07/2000,M,26/06/2021,medicina,1,15610.43
7171924,Nombre 93,Apellido 93,10/04/1975,H,06/02/2014,ciencias sociales,1,15620.25
9260845,Nombre 94,Apellido 94,09/01/1978,M,06/05/2018,ingeniería,0,
6050366,Nombre 95,Apellido 95,21/10/1984,H,30/10/2004,ciencias sociales,1,15653.51
2287778,Nombre 96,Apellido 96,25/11/1978,M,25/10/1998,humanidades,1,15655.92
5552156,Nombre 97,Apellido 97,30/01/2004,H,28/07/2026,ciencias sociales,0,
5737748,Nombre 98,Apellido 98,18/03/2006,M,01/02/2026,ingeniería,1,15661.12
9376763,Nombre 99,Apellido 99,22/08/1998,H,05/08/2021,humanidades,1,15665.33
8891189,Nombre 100,Apellido 100,05/05/1990,M,07/04/2023,ciencias sociales,1,15688.71
7673287,Nombre 101,Apellido 101,03/08/1998,H,25/12/2019,humanidades,1,15715.93
4325741,Nombre 102,Apellido 102,08/10/1993,H,25/03/2017,humanidades,1,15718.66
9669229,Nombre 103,Apellido 103,31/03/1980,M,21/06/2025,humanidades,0,
8460366,Nombre 104,Apellido 104,07/08/1972,H,03/10/2012,humanidades,0,
3061474,Nombre 105,Apellido 105,04/08/1970,M,12/01/2022,ingeniería,1,15738.76
9290447,Nombre 106,Apellido 106,30/07/1975,H,11/07/2024,humanidades,0,
7585392,Nombre 107,Apellido 107,19/10/1999,M,31/07/2020,ciencias sociales,1,15754.42
2453025,Nombre 108,Apellido 108,05/01/1981,H,05/09/2015,ingeniería,1,15762.92
5577286,Nombre 109,Apellido 109,23/02/1970,H,07/09/1990,ciencias sociales,1,15785.07
6850312,Nombre 110,Apellido 110,20/10/1983,M,30/12/2014,medicina,1,15785.81
3542734,Nombre 111,Apellido 111,27/05/2007,H,07/09/2026,medicina,1,15787.54
6716921,Nombre 112,Apellido 112,31/07/1994,M,28/04/2024,medicina,1,15800.77
9782787,Nombre 113,Apellido 113,13/02/1998,M,25/08/2018,ciencias sociales,1,15801.02
2883706,Nombre 114,Apellido 114,26/11/1995,M,25/11/2017,ciencias sociales,1,15801.79
1942478,Nombre 115,Apellido 115,11/02/1984,M,12/04/2018,ciencias sociales,1,15803.63
9634479,Nombre 116,Apellido 116,20/04/1988,H,06/05/2014,medicina,1,15826.92
2178287,Nombre 117,Apellido 117,21/07/2005,H,17/06/2026,medicina,1,15849.95
6097550,Nombre 118,Apellido 118,07/06/1989,H,12/02/2024,ciencias sociales,1,15850.22
5395689,Nombre 119,Apellido 119,05/05/2000,H,26/07/2019,medicina,1,15852.39
7386432,Nombre 120,Apellido 120,13/11/1991,M,08/07/2024,medicina,1,15866.76
1548123,Nombre 121,Apellido 121,19/11/2004,H,08/01/2025,ingeniería,1,15924.37
4548613,Nombre 122,Apellido 122,04/10/1983,H,27/12/2023,ciencias sociales,1,15937.92
6930034,Nombre 123,Apellido 123,10/05/2000,H,14/07/2020,ciencias sociales,0,
4925604,Nombre 124,Apellido 124,17/05/1970,M,30/10/1990,humanidades,1,15953.44
1358898,Nombre 125,Apellido 125,10/06/1990,M,28/03/2021,ciencias sociales,1,15953.61
3178818,Nombre 126,Apellido 126,02/05/1991,M,31/12/2013,ciencias sociales,1,15961.31
6423817,Nombre 127,Apellido 127,10/12/1976,M,15/08/2000,ciencias sociales,0,
3704150,Nombre 128,Apellido 128,18/01/1984,M,11/09/2014,humanidades,1,15987.81
3279768,Nombre 129,Apellido 129,19/01/1983,H,13/04/2015,humanidades,1,15990.81
4963362,Nombre 130,Apellido 130,08/05/1986,M,12/12/2008,humanidades,1,15998.67
1310872,Nombre 131,Apellido 131,01/03/1998,M,29/08/2021,humanidades,1,16007.99
7213983,Nombre 132,Apellido 132,23/01/1973,M,01/02/1997,humanidades,1,16022.21
9343778,Nombre 133,Apellido 133,17/04/1975,M,09/07/1997,humanidades,1,16057.8
7426461,Nombre 134,Apellido 134,19/05/2000,H,19/05/2026,humanidades,1,16069.03
7454992,Nombre 135,Apellido 135,22/12/2006,H,12/08/2026,medicina,1,16104.21
7533082,Nombre 136,Apellido 136,25/05/1999,H,28/07/2024,ciencias sociales,1,16110.85
1443382,Nombre 137,Apellido 137,09/02/1998,H,01/06/2018,ingeniería,1,16131.51
2377259,Nombre 138,Apellido 138,23/10/1975,M,26/12/2022,ciencias sociales,1,16147.59
8924967,Nombre 139,Apellido 139,05/07/2006,M,27/07/2025,ciencias sociales,1,16147.91
9451568,Nombre 140,Apellido 140,16/08/2005,H,27/04/2025,ingeniería,1,16174.3
4352510,Nombre 141,Apellido 141,17/12/1997,H,14/10/2021,humanidades,1,16194.89
5881272,Nombre 142,Apellido 142,04/08/1994,H,20/01/2021,humanidades,1,16195.15
9340159,Nombre 143,Apellido 143,22/10/1990,H,06/07/2011,medicina,0,
6247493,Nombre 144,Apellido 144,18/10/1993,M,19/06/2014,medicina,1,16249.74
5357626,Nombre 145,Apellido 145,20/05/1999,H,28/09/2026,humanidades,1,16257.58
6937199,Nombre 146,Apellido 146,18/11/2005,M,25/09/2026,ciencias sociales,1,16269.5
6656132,Nombre 147,Apellido 147,09/12/1997,M,22/03/2024,ingeniería,1,16272.13
6940629,Nombre 148,Apellido 148,14/05/2004,M,31/12/2024,humanidades,0,
8849235,Nombre 149,Apellido 149,09/03/1990,M,28/07/2014,humanidades,1,16274.71
1986516,Nombre 150,Apellido 150,31/03/1992,M,30/03/2013,medicina,1,16285.57
2768141,Nombre 151,Apellido 151,30/09/1970,M,15/10/2012,ciencias sociales,0,
5529046,Nombre 152,Apellido 152,07/11/1987,H,08/03/2025,humanidades,0,
7416135,Nombre 153,Apellido 153,04/04/1973,M,28/08/2014,ciencias sociales,1,16293.52
8378839,Nombre 154,Apellido 154,24/07/1983,H,04/03/2018,ciencias sociales,1,16300.59
3160666,Nombre 155,Apellido 155,09/12/1980,H,24/10/2008,humanidades,1,16315.33
6166292,Nombre 156,Apellido 156,06/08/1981,H,07/07/2016,ciencias sociales,1,16320.72
9094779,Nombre 157,Apellido 157,03/04/1985,H,24/09/2007,humanidades,1,16336.02
9126553,Nombre 158,Apellido 158,30/10/1985,H,20/07/2024,humanidades,1,16347.49
2836520,Nombre 159,Apellido 159,10/11/1986,H,22/06/2023,ingeniería,1,16409.84
4350958,Nombre 160,Apellido 160,28/07/1996,H,09/04/2017,humanidades,1,16442.71
6447024,Nombre 161,Apellido 161,29/02/1984,M,29/06/2019,medicina,1,16447.53
1472281,Nombre 162,Apellido 162,06/05/1981,M,21/11/2000,ciencias sociales,1,16468.54
6904022,Nombre 163,Apellido 163,18/11/1994,M,18/11/2023,ingeniería,1,16469.5
9878069,Nombre 164,Apellido 164,01/10/1995,M,05/06/2022,humanidades,1,16487.47
8643877,Nombre 165,Apellido 165,21/12/1991,H,09/07/2011,humanidades,1,16487.79
8277234,Nombre 166,Apellido 166,13/09/1992,H,06/05/2015,ciencias sociales,0,
3190504,Nombre 167,Apellido 167,20/01/1989,H,15/06/2024,ingeniería,1,16494.66
6761982,Nombre 168,Apellido 168,02/07/1984,M,14/04/2022,humanidades,1,16514.72
4425999,Nombre 169,Apellido 169,14/05/2002,M,22/02/2026,ingeniería,1,16516.19
4874347,Nombre 170,Apellido 170,12/01/2005,H,22/03/2024,medicina,1,16533.83
3799766,Nombre 171,Apellido 171,08/06/1995,H,12/04/2024,ciencias sociales,1,16563.63
1395437,Nombre 172,Apellido 172,24/11/1977,H,23/08/2000,ciencias sociales,0,
9673553,Nombre 173,Apellido 173,14/02/1985,H,02/04/2008,ingeniería,1,16590.99
6572884,Nombre 174,Apellido 174,26/06/2001,M,30/09/2025,ciencias sociales,1,16602.63
5731685,Nombre 175,Apellido 175,15/05/1987,H,05/07/2021,ciencias sociales,1,16609.82
2871662,Nombre 176,Apellido 176,31/10/1979,M,05/04/2014,medicina,1,16617.91
5513327,Nombre 177,Apellido 177,13/02/1970,M,16/02/2012,medicina,1,16636.97
7338160,Nombre 178,Apellido 178,13/03/1998,M,23/11/2019,humanidades,1,16642.56
3775355,Nombre 179,Apellido 179,28/06/1978,M,17/09/2025,ciencias sociales,1,16670.35
1009228,Nombre 180,Apellido 180,25/04/2001,M,29/09/2026,medicina,1,16723.19
5587184,Nombre 181,Apellido 181,06/12/1977,M,28/01/2004,humanidades,1,16735.38
5660783,Nombre 182,Apellido 182,14/03/1974,H,05/09/2024,medicina,1,16737.87
7481553,Nombre 183,Apellido 183,07/02/1993,M,08/09/2024,medicina,0,
1437755,Nombre 184,Apellido 184,16/09/1996,M,21/07/2026,humanidades,0,
6118089,Nombre 185,Apellido 185,23/09/1998,M,28/11/2022,humanidades,1,16739.28
6948938,Nombre 186,Apellido 186,12/10/1981,H,25/12/2014,ingeniería,1,16739.81
7038158,Nombre 187,Apellido 187,21/11/1980,M,27/02/2002,humanidades,0,
3632342,Nombre 188,Apellido 188,24/02/1978,M,14/02/2021,ciencias sociales,1,16754.06
6316478,Nombre 189,Apellido 189,04/11/1972,H,21/10/2006,humanidades,0,
9639731,Nombre 190,Apellido 190,14/08/2006,H,19/11/2025,medicina,1,16778.48
8135545,Nombre 191,Apellido 191,29/09/1976,M,07/06/2012,ciencias sociales,1,16803.83
3705940,Nombre 192,Apellido 192,12/12/1997,H,29/12/2025,medicina,1,16818.62
3823509,Nombre 193,Apellido 193,19/10/1994,M,12/10/2021,ciencias sociales,1,16830.45
3438402,Nombre 194,Apellido 194,20/06/1980,M,28/02/2026,ingeniería,1,16843.09
9457592,Nombre 195,Apellido 195,18/01/2007,H,08/03/2026,ingeniería,1,16848.82
5696333,Nombre 196,Apellido 196,04/12/1975,M,21/01/2021,ciencias sociales,1,16852.45
1423489,Nombre 197,Apellido 197,01/07/1983,M,28/05/2022,humanidades,1,16857.23
2108956,Nombre 198,Apellido 198,14/05/2005,H,09/11/2024,humanidades,0,
7196853,Nombre 199,Apellido 199,25/08/1971,M,18/06/2012,humanidades,1,16858.9
3038954,Nombre 200,Apellido 200,26/10/1998,H,04/03/2024,ingeniería,1,16860.48
3214432,Nombre 201,Apellido 201,17/06/2000,H,28/08/2020,humanidades,1,16869.88
1604923,Nombre 202,Apellido 202,20/02/1989,H,15/01/2019,ciencias sociales,1,16892.43
4016950,Nombre 203,Apellido 203,12/05/1985,H,24/11/2022,ciencias sociales,0,
6489978,Nombre 204,Apellido 204,20/05/1993,H,20/04/2020,ciencias sociales,1,16924
7238796,Nombre 205,Apellido 205,13/01/1990,H,29/11/2011,humanidades,1,16925
2497287,Nombre 206,Apellido 206,08/03/2004,H,08/03/2023,humanidades,1,16933.4
3509854,Nombre 207,Apellido 207,15/05/1983,M,19/08/2022,medicina,1,16934.51
2315081,Nombre 208,Apellido 208,22/09/1995,M,19/07/2019,medicina,0,
4063344,Nombre 209,Apellido 209,31/10/1983,H,01/10/2012,medicina,1,16940.24
9745183,Nombre 210,Apellido 210,26/06/1970,M,09/05/2006,ciencias sociales,1,16946.28
1801956,Nombre 211,Apellido 211,07/11/2005,H,21/03/2026,ciencias sociales,0,
9253093,Nombre 212,Apellido 212,08/06/1992,H,26/12/2025,ciencias sociales,1,16956.99
8322304,Nombre 213,Apellido 213,25/11/1987,H,15/03/2024,medicina,1,16958.35
6689573,Nombre 214,Apellido 214,21/08/2004,H,01/01/2025,medicina,1,16967.8
4468262,Nombre 215,Apellido 215,22/09/1992,M,07/02/2015,humanidades,1,16975.94
8799754,Nombre 216,Apellido 216,09/09/1976,H,25/10/1996,ciencias sociales,1,17018.41
3415723,Nombre 217,Apellido 217,12/06/1999,H,26/10/2020,ciencias sociales,1,17020.17
6380223,Nombre 218,Apellido 218,19/07/1975,H,31/12/2016,ingeniería,1,17033.74
9168619,Nombre 219,Apellido 219,03/02/1993,M,02/03/2015,humanidades,1,17038.8
9991480,Nombre 220,Apellido 220,05/08/2004,M,20/02/2025,humanidades,1,17052.03
7273443,Nombre 221,Apellido 221,18/11/1999,H,29/08/2026,medicina,1,17080.98
4675767,Nombre 222,Apellido 222,07/03/1984,M,11/08/2012,ciencias sociales,0,
9373491,Nombre 223,Apellido 223,18/09/1972,M,10/10/2018,humanidades,1,17086.62
2641291,Nombre 224,Apellido 224,02/03/2000,M,21/02/2025,medicina,1,17092.44
1790080,Nombre 225,Apellido 225,07/08/1980,M,01/09/2021,ciencias sociales,0,
8879212,Nombre 226,Apellido 226,27/02/1985,H,04/06/2023,ciencias sociales,1,17111.17
8448143,Nombre 227,Apellido 227,25/09/1976,M,23/01/2013,humanidades,1,17153.29
6658589,Nombre 228,Apellido 228,24/07/1996,M,19/12/2021,humanidades,0,
4736970,Nombre 229,Apellido 229,24/08/1982,H,13/07/2025,ciencias sociales,1,17154.85
9308976,Nombre 230,Apellido 230,07/12/1999,M,05/02/2025,medicina,1,17178.01
5367942,Nombre 231,Apellido 231,08/02/1999,H,25/09/2025,ciencias sociales,1,17196.28
1890283,Nombre 232,Apellido 232,23/07/1970,H,09/12/2001,medicina,1,17211.74
3465841,Nombre 233,Apellido 233,14/12/1990,H,07/10/2019,ciencias sociales,1,17226.23
9160565,Nombre 234,Apellido 234,04/05/1985,M,27/02/2013,humanidades,1,17232.91
1825110,Nombre 235,Apellido 235,01/04/1997,M,08/06/2022,ciencias sociales,1,17255.97
9400254,Nombre 236,Apellido 236,05/09/1994,H,29/12/2025,medicina,1,17256.92
9677911,Nombre 237,Apellido 237,26/11/1987,M,14/05/2012,medicina,1,17260.06
5837638,Nombre 238,Apellido 238,05/07/1995,H,30/08/2020,humanidades,1,17271.6
9482119,Nombre 239,Apellido 239,20/12/1982,H,25/08/2020,ciencias sociales,1,17337.93
8332279,Nombre 240,Apellido 240,23/10/2005,H,03/07/2026,ciencias sociales,1,17339.34
2260810,Nombre 241,Apellido 241,02/12/1982,M,08/03/2009,ciencias sociales,1,17374.93
9742269,Nombre 242,Apellido 242,23/12/1975,M,30/10/1998,ciencias sociales,0,
7011448,Nombre 243,Apellido 243,06/01/2007,H,14/04/2026,humanidades,0,
6718360,Nombre 244,Apellido 244,15/04/1990,H,30/08/2017,humanidades,1,17376.99
2446058,Nombre 245,Apellido 245,19/08/2000,H,10/12/2020,ciencias sociales,1,17383.25
3920588,Nombre 246,Apellido 246,12/03/1997,H,21/09/2020,ciencias sociales,0,
1653162,Nombre 247,Apellido 247,26/06/1975,M,04/12/1996,ciencias sociales,1,17400.14
9624770,Nombre 248,Apellido 248,13/07/1971,H,15/03/2015,ciencias sociales,1,17411.18
9273965,Nombre 249,Apellido 249,04/06/1995,H,25/04/2015,ciencias sociales,1,17437
5868998,Nombre 250,Apellido 250,28/04/1993,M,18/08/2012,humanidades,1,17440.32
2335946,Nombre 251,Apellido 251,04/11/1994,H,01/08/2026,medicina,1,17441.38
5431716,Nombre 252,Apellido 252,23/12/1970,M,02/07/2026,humanidades,1,17447.76
1634269,Nombre 253,Apellido 253,19/08/1990,M,20/05/2013,humanidades,0,
9062548,Nombre 254,Apellido 254,20/10/1973,M,15/11/1998,ciencias sociales,0,
9981716,Nombre 255,Apellido 255,09/06/2000,M,08/09/2024,humanidades,1,17461.15
6098015,Nombre 256,Apellido 256,01/01/1972,H,15/07/2004,ciencias sociales,0,
4142905,Nombre 257,Apellido 257,03/04/2004,M,08/01/2025,medicina,1,17464.44
1097274,Nombre 258,Apellido 258,23/01/2003,M,16/04/2026,ciencias sociales,1,17478.65
6723691,Nombre 259,Apellido 259,25/11/2001,H,11/10/2023,humanidades,1,17507.94
1289755,Nombre 260,Apellido 260,26/03/1997,H,16/01/2017,humanidades,1,17508.67
4243700,Nombre 261,Apellido 261,27/06/1990,M,07/12/2022,humanidades,1,17515.69
5275344,Nombre 262,Apellido 262,27/02/1977,M,23/12/2002,humanidades,0,
6268414,Nombre 263,Apellido 263,27/06/1989,M,11/01/2023,ciencias sociales,1,17526.8
2819488,Nombre 264,Apellido 264,15/03/1995,M,12/07/2023,ciencias sociales,1,17528.62
1341021,Nombre 265,Apellido 265,12/08/1996,H,27/07/2021,ciencias sociales,1,17550.12
4080420,Nombre 266,Apellido 266,06/12/1970,M,04/12/2000,humanidades,0,
9215149,Nombre 267,Apellido 267,31/05/1995,M,23/06/2021,ciencias sociales,0,
6788180,Nombre 268,Apellido 268,01/11/1988,M,03/02/2016,ciencias sociales,1,17568.62
9701629,Nombre 269,Apellido 269,18/03/1997,H,19/01/2018,humanidades,1,17580.01
5468098,Nombre 270,Apellido 270,05/12/2005,H,11/09/2026,ingeniería,1,17591.76
1223485,Nombre 271,Apellido 271,14/07/2005,M,02/09/2026,ciencias sociales,0,
7641742,Nombre 272,Apellido 272,10/04/1994,H,28/07/2026,humanidades,1,17604.11
9385575,Nombre 273,Apellido 273,01/01/1970,M,08/11/2012,medicina,0,
8852427,Nombre 274,Apellido 274,27/07/1971,M,10/12/1996,humanidades,1,17614.92
6572714,Nombre 275,Apellido 275,01/08/1993,H,20/08/2013,ingeniería,1,17617.71
4030566,Nombre 276,Apellido 276,19/03/2003,H,30/10/2022,humanidades,1,17618.75
6559036,Nombre 277,Apellido 277,06/02/1994,H,26/03/2017,medicina,0,
2283579,Nombre 278,Apellido 278,27/07/2007,M,04/08/2026,humanidades,1,17624.1
5902152,Nombre 279,Apellido 279,09/08/1991,H,11/11/2021,ciencias sociales,0,
1045779,Nombre 280,Apellido 280,19/03/2000,H,18/07/2020,humanidades,1,17633.59
7667931,Nombre 281,Apellido 281,24/07/1980,H,09/10/2014,ciencias sociales,1,17659.07
1484192,Nombre 282,Apellido 282,18/01/2004,H,21/12/2023,humanidades,1,17660.13
8022372,Nombre 283,Apellido 283,22/04/1992,M,06/07/2018,ciencias sociales,1,17664.72
1976911,Nombre 284,Apellido 284,09/10/1985,M,30/03/2006,medicina,0,
6894546,Nombre 285,Apellido 285,27/08/2004,M,25/04/2025,humanidades,1,17666.36
7792938,Nombre 286,Apellido 286,01/06/2007,M,24/07/2026,ingeniería,1,17669.81
5951346,Nombre 287,Apellido 287,02/08/2006,H,26/07/2026,humanidades,1,17701.26
8534026,Nombre 288,Apellido 288,05/02/1974,H,07/05/2022,ciencias sociales,1,17707.03
7279163,Nombre 289,Apellido 289,19/10/1991,H,21/09/2012,ciencias sociales,1,17707.63
1649682,Nombre 290,Apellido 290,15/07/1990,M,29/11/2021,medicina,1,17718.72
1638485,Nombre 291,Apellido 291,07/10/1990,H,05/04/2021,ciencias sociales,0,
6990934,Nombre 292,Apellido 292,03/03/1972,M,17/02/2026,ingeniería,1,17725.06
9097478,Nombre 293,Apellido 293,02/10/1981,H,21/05/2018,ciencias sociales,1,17740.45
4538317,Nombre 294,Apellido 294,12/02/1973,M,19/08/2026,medicina,1,17745.84
9083407,Nombre 295,Apellido 295,04/01/1995,H,30/07/2026,medicina,1,17750.43
5075906,Nombre 296,Apellido 296,22/11/1991,M,11/12/2021,ingeniería,1,17768.9
2118838,Nombre 297,Apellido 297,12/04/2001,H,26/06/2020,ciencias sociales,1,17774.29
6002751,Nombre 298,Apellido 298,03/09/1978,M,03/10/2009,ingeniería,0,
4397753,Nombre 299,Apellido 299,27/05/1999,M,01/10/2026,medicina,0,
4515390,Nombre 300,Apellido 300,02/05/1984,H,18/12/2016,ciencias sociales,1,17776.58
5916950,Nombre 301,Apellido 301,13/04/1970,M,08/10/2006,ciencias sociales,0,
